"5","2021-11-07 04:14:33","mZughbor","Congratulations, you just completed the installation!","First_URl","1","10",,NULL,NULL,NULL,NULL,NULL
"6","2021-11-07 04:21:06","mZughbor","Congratulations, you just completed the installation!","First_URl","0","10",,NULL,NULL,NULL,NULL,NULL
"7","2021-11-07 04:23:00","mZughbor","Congratulations, you just completed the installation!","First_URl","0","10",,NULL,NULL,NULL,NULL,NULL
"8","2021-11-07 04:23:42","mZughbor","Congratulations, you just completed the installation!","First_URl","300718","10",,NULL,NULL,NULL,NULL,NULL
"9","2021-11-07 04:30:19","hyip hekaya","2 x First Plan, 1 x Single","ENGYN4VA","85","0",,NULL,NULL,NULL,NULL,NULL
"10","2021-11-07 04:31:17","hyip hekaya","2 x First Plan, 1 x Single","ENGYN4VA","8","0",,NULL,NULL,NULL,NULL,NULL
"11","2021-11-07 04:37:59","hyip hekaya","2 x First Plan, 1 x Single","4B9R2ZKR","0","0",,NULL,NULL,NULL,NULL,NULL
"12","2021-11-07 04:38:39","hyip hekaya","2 x First Plan, 1 x Single","4B9R2ZKR","0","0",,NULL,NULL,NULL,NULL,NULL
"13","2021-11-07 04:42:13","hyip hekaya","charge:created","RQKDVEQJ","3","0",,NULL,NULL,NULL,NULL,NULL
"14","2021-11-07 04:42:59","hyip hekaya","charge:failed","RQKDVEQJ","7","0",,NULL,NULL,NULL,NULL,NULL
"15","2021-11-08 23:29:50","The Sovereign Individual","charge:resolved","AAAAAAAA","0","0",,NULL,NULL,NULL,NULL,NULL
"16","2021-11-09 00:34:06","The Sovereign Individual","charge:failed","AAAAAAAA","0","0",,NULL,NULL,NULL,NULL,NULL
"17","2021-11-09 00:38:12","mZughbor","Congratulations, you just completed the installation!","anyURl","55","0",,NULL,NULL,NULL,NULL,NULL
"18","2021-11-09 00:39:46","The Sovereign Individual","charge:created",,"0","0",,NULL,NULL,NULL,NULL,NULL
"19","2021-11-09 01:23:04","The Sovereign Individual","charge:pending","AAAAAAAA","0","0",,NULL,NULL,NULL,NULL,NULL
"20","2021-11-11 02:33:17","hyip hekaya","charge:created","VXF9YQBL","62","0",,NULL,NULL,NULL,NULL,NULL
"21","2021-11-11 02:35:28","hyip hekaya","charge:failed","VXF9YQBL","8388607","0",,NULL,NULL,NULL,NULL,NULL
"22","2021-11-11 02:43:09","The Sovereign Individual","charge:failed","AAAAAAAA","0","0",,NULL,NULL,NULL,NULL,NULL
"23","2021-11-11 02:48:23","The Sovereign Individual","charge:resolved",,"0","0",,NULL,NULL,NULL,NULL,NULL
"24","2021-11-11 02:52:56","The Sovereign Individual","charge:created",,"0","0",,NULL,NULL,NULL,NULL,NULL
"25","2021-11-11 02:53:51","The Sovereign Individual","charge:created",,"5642","0",,NULL,NULL,NULL,NULL,NULL
"26","2021-11-11 02:54:32","The Sovereign Individual","charge:created",,"5642","0",,NULL,NULL,NULL,NULL,NULL
"27","2021-11-11 02:54:35","The Sovereign Individual","charge:created",,"5642","0",,NULL,NULL,NULL,NULL,NULL
"28","2021-11-11 02:56:46","mZughbor","Congratulations, you just completed the installation!","anyURl","55","0",,NULL,NULL,NULL,NULL,NULL
"29","2021-11-11 02:58:01","The Sovereign Individual","charge:delayed","{""id"":""00000000-0000-0000-0000-000000000000"",""scheduled_for"":""2018-01-02T00:00:00Z"",""attempt_number"":1,""event"":{""id"":""00000000-0000-0000-0000-000000000000"",""resource"":""event"",""type"":""charge:delayed"",""api_version"":""2018-03-22"",""created_at"":""2018-01-02T00:00:00Z"",""data"":{""code"":""AAAAAAAA"",""id"":""00000000-0000-0000-0000-000000000000"",""resource"":""charge"",""name"":""The Sovereign Individual"",""description"":""Mastering the Transition to the Information Age"",""hosted_url"":""https://commerce.coinbase.com/charges/AAAAAAAA"",""created_at"":""2018-01-01T00:00:00Z"",""expires_at"":""2018-01-01T01:00:00Z"",""support_email"":""test@test.test"",""timeline"":[{""time"":""2018-01-01T00:00:00Z"",""status"":""NEW""},{""status"":""EXPIRED"",""time"":""2018-01-01T01:00:00Z""},{""status"":""UNRESOLVED"",""time"":""2018-01-02T00:00:00Z"",""context"":""DELAYED""}],""metadata"":{},""payment_threshold"":{""overpayment_absolute_threshold"":{""amount"":""15.00"",""currency"":""USD""},""overpayment_relative_threshold"":""0.1"",""underpayment_absolute_threshold"":{""amount"":""5.00"",""cur","5642","0",,NULL,NULL,NULL,NULL,NULL
"30","2021-11-11 02:59:11","The Sovereign Individual","charge:created","{""id"":""00000000-0000-0000-0000-000000000000"",""scheduled_for"":""2018-01-01T00:00:00Z"",""attempt_number"":1,""event"":{""id"":""00000000-0000-0000-0000-000000000000"",""resource"":""event"",""type"":""charge:created"",""api_version"":""2018-03-22"",""created_at"":""2018-01-01T00:00:00Z"",""data"":{""code"":""AAAAAAAA"",""id"":""00000000-0000-0000-0000-000000000000"",""resource"":""charge"",""name"":""The Sovereign Individual"",""description"":""Mastering the Transition to the Information Age"",""hosted_url"":""https://commerce.coinbase.com/charges/AAAAAAAA"",""created_at"":""2018-01-01T00:00:00Z"",""expires_at"":""2018-01-01T01:00:00Z"",""support_email"":""test@test.test"",""timeline"":[{""time"":""2018-01-01T00:00:00Z"",""status"":""NEW""}],""metadata"":{},""payment_threshold"":{""overpayment_absolute_threshold"":{""amount"":""15.00"",""currency"":""USD""},""overpayment_relative_threshold"":""0.1"",""underpayment_absolute_threshold"":{""amount"":""5.00"",""currency"":""USD""},""underpayment_relative_threshold"":""0.1""},""pricing"":{""local"":{""amount"":""100.00"",""currency"":""USD""},""bitcoin"":{""am","5642","0",,NULL,NULL,NULL,NULL,NULL
"31","2021-11-11 03:00:09","The Sovereign Individual","charge:created","fkghlksdfghkldshfglk;sdhgflksdhfglksdhfglkshdfglkhsdklfghlksdfghlkdshfghldskghdsfklgjhjfghksldfghldksjg","5642","0",,NULL,NULL,NULL,NULL,NULL
"32","2021-11-11 03:00:53","The Sovereign Individual","charge:pending","fkghlksdfghkldshfglk;sdhgflksdhfglksdhfglkshdfglkhsdklfghlksdfghlkdshfghldskghdsfklgjhjfghksldfghldksjg","5642","0",,NULL,NULL,NULL,NULL,NULL
"33","2021-11-11 03:01:30","The Sovereign Individual","charge:created","fkghlksdfghkldshfglk","5642","0",,NULL,NULL,NULL,NULL,NULL
"34","2021-11-11 03:02:03","The Sovereign Individual","charge:delayed",,"5642","0",,NULL,NULL,NULL,NULL,NULL
"35","2021-11-11 03:02:58","The Sovereign Individual","charge:confirmed","123","5642","0",,NULL,NULL,NULL,NULL,NULL
"36","2021-11-11 03:03:41","The Sovereign Individual","charge:pending","AAAAAAAA","5642","0",,NULL,NULL,NULL,NULL,NULL
"37","2021-11-11 03:04:39","The Sovereign Individual","charge:failed","AAAAAAAA","5642","0",,NULL,NULL,NULL,NULL,NULL
"38","2021-11-11 03:04:56","mZughbor","Congratulations, you just completed the installation!","anyURl","55","0",,NULL,NULL,NULL,NULL,NULL
